Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,28001.4,29123.4,29555.4,29993.5,30492.8,31022.5,31575.3,32120.5,32656.7,33255.5,33905.2,34558.9,35271.3,36024.9,36799.8,37543.2
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,1632.0,1680.9,1692.8,1711.8,1736.5,1763.1,1791.1,1817.5,1842.3,1869.8,1898.3,1923.7,1948.5,1976.2,2002.7,2029.7
1735401,Nukus shahri,Город Нукус,Nukus city,Нукус шаҳри,271.5,284.3,286.4,289.0,295.2,300.7,303.7,307.4,310.9,314.9,319.6,323.8,329.0,334.6,339.2,344.7
1735204,Amudaryo tumani,Амударьинский район,Amudarya district,Aмударё тумани,163.5,172.3,174.4,176.8,179.1,182.2,185.7,188.7,191.6,195.3,199.2,201.4,204.8,208.6,212.1,215.6
1735207,Beruniy tumani,Берунийский район,Beruniy  district,Беруний тумани,159.1,162.2,164.5,167.3,170.3,173.7,177.2,180.5,183.9,187.6,191.4,194.5,197.4,201.2,205.1,209.0
1735209,Bo‘zatov tumani,Бозатауский район,Bozatau district,Бўзатов тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.5,21.7,21.8,21.9,21.9,21.9
1735211,Qorao‘zak tumani,Караузякский район,Karauzak district,Қораўзак тумани,45.1,48.2,48.6,49.2,49.6,50.3,50.9,51.5,52.0,52.4,52.8,53.3,53.6,54.1,54.4,54.7
1735212,Kegeyli tumani,Кегейлийский район,Kegeyli district,Кегейли тумани,79.5,82.7,82.9,83.8,84.8,85.7,87.0,88.1,88.9,89.5,72.5,73.2,73.6,74.2,74.8,75.4
1735215,Qo‘ng‘irot tumani,Кунградский район,Kungrad district,Қўнғирот тумани,115.5,117.5,117.5,118.5,120.1,121.9,123.6,125.2,126.8,128.3,129.9,131.6,132.8,134.6,136.0,137.2
1735218,Qanliko‘l tumani,Канлыкульский район,Kanlykul district,Қанликўл тумани,43.8,45.4,45.7,46.3,46.9,47.6,48.3,49.1,49.7,50.3,51.0,51.7,52.4,53.1,53.8,54.3
1735222,Mo‘ynoq tumani,Муйнакский район,Muynak district,Мўйноқ тумани,28.3,28.9,29.0,29.2,29.4,29.7,30.2,30.6,30.9,31.3,31.8,32.3,33.0,33.4,33.6,33.9
1735225,Nukus tumani,Нукусский район,Nukus district,Нукус тумани,47.0,44.1,44.1,44.3,44.4,45.0,46.1,47.1,48.2,49.1,50.2,51.1,51.9,52.9,53.9,55.0
1735228,Taxiatosh tumani,Тахиаташский район,Takhiatash district,Тахиатош тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.9,72.8,73.8,74.7,75.5,76.3,76.8,77.4
1735230,Taxtako‘pir tumani,Тахтакупырский район,Takhtakupyr district,Тахтакўпир тумани,39.3,39.6,38.8,38.6,38.7,38.8,39.1,39.4,39.7,39.9,40.1,40.4,40.6,39.0,38.9,38.9
1735233,To‘rtko‘l tumani,Турткульский район,Turtkul district,Тўрткўл тумани,175.4,183.0,185.9,189.0,192.6,196.1,199.7,203.1,206.4,210.3,214.3,217.7,221.0,224.7,228.8,232.5
1735236,Xo‘jayli tumani,Ходжейлийский район,Khojeyli district,Хўжайли тумани,191.4,182.4,181.5,182.2,183.5,185.2,187.5,189.5,119.7,121.2,122.7,124.3,125.5,127.2,128.7,130.1
1735240,Chimboy tumani,Чимбайский район,Chimbay district,Чимбой тумани,101.9,105.1,106.0,107.2,108.3,109.4,111.2,112.7,113.8,115.2,112.3,113.4,114.0,115.1,115.7,116.6
1735243,Shumanay tumani,Шуманайский район,Shumanai district,Шуманай тумани,40.7,51.9,52.2,52.6,53.1,53.6,54.2,54.7,55.1,55.6,56.1,56.6,57.0,57.6,58.0,58.5
1735250,Ellikkala tumani,Элликкалинский район,Ellikkala district,Елликкала тумани,130.0,133.3,135.3,137.8,140.5,143.2,146.7,149.9,152.8,156.1,159.1,162.0,164.6,167.7,171.0,174.0
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,2549.1,2672.3,2714.2,2756.4,2805.5,2857.3,2910.5,2962.5,3011.7,3066.9,3127.7,3188.1,3253.5,3322.7,3394.4,3461.0
1703401,Andijon shahri,Город Андижан,Andijan city,Aндижон шаҳри,373.8,388.4,393.5,398.2,403.9,410.4,416.3,421.9,427.5,433.9,441.7,450.0,458.5,468.1,480.8,492.4
1703408,Xonobod shahri,Город Ханабад,Khanabadcity,Хонобод шаҳри,37.4,37.9,38.3,38.8,39.3,39.8,40.1,40.6,41.0,41.7,42.5,43.2,43.9,45.0,45.8,46.5
1703202,Oltinko‘l tumani,Алтынкульский район,Altynkul  district,Олтинкўл тумани,142.7,148.3,150.9,153.7,156.9,160.2,163.2,166.6,169.8,172.9,176.7,180.5,184.7,189.0,192.1,194.3
1703203,Andijon tumani,Андижанский район,Andijan district,Aндижон тумани,210.9,217.6,221.5,226.1,230.4,235.0,240.7,246.0,250.6,256.2,261.8,267.1,273.8,280.0,286.1,292.6
1703206,Baliqchi tumani,Балыкчинский район,Balykchi district,Балиқчи тумани,158.4,169.0,171.9,174.7,178.1,182.0,185.6,189.0,192.0,195.5,199.3,203.1,207.1,211.3,215.8,220.2
1703209,Bo‘ston tumani,Бустонский район,Bustan district,Бўстон тумани,57.1,60.8,61.7,62.7,64.1,65.4,66.6,67.8,69.1,70.3,71.7,73.1,74.7,76.2,77.9,79.7
1703210,Buloqboshi tumani,Булакбашинский район,Bulakbashi district,Булоқбоши тумани,115.1,122.4,124.2,125.9,128.1,130.4,132.9,135.1,137.1,139.3,141.9,144.5,147.0,149.9,153.1,156.0
1703211,Jalaquduq tumani,Жалакудукский район,Jalаquduk district,Жалақудуқ тумани,153.1,160.7,163.1,165.3,167.8,170.6,173.5,176.5,178.9,181.9,184.8,187.9,191.5,195.2,198.8,202.1
1703214,Izboskan tumani,Избасканский район,Izbaskan district,Избоскан тумани,195.1,201.1,204.4,207.7,211.4,215.2,219.2,223.1,227.1,231.6,236.4,241.2,245.6,250.3,255.3,260.3
1703217,Ulug‘nor tumani,Улугноpский район,Ulugnor district,Улуғнор тумани,49.5,50.6,51.5,52.4,53.4,54.4,55.3,56.2,57.1,58.1,59.3,60.5,61.8,63.0,63.8,64.3
1703220,Qo‘rg‘ontepa tumani,Кургантепинский район,Kurgantepa district,Қўрғонтепа тумани,173.0,184.3,186.9,189.8,193.3,196.4,200.2,203.8,207.1,210.8,214.8,218.4,222.1,226.1,230.4,234.3
1703224,Asaka tumani,Асакинский район,Asaka district,Aсака тумани,259.1,274.7,279.1,283.8,289.3,295.2,301.0,307.0,313.0,319.3,325.8,332.6,340.0,347.5,355.0,362.1
1703227,Marxamat tumani,Мархаматский район,Markhamat district,Мархамат тумани,139.2,147.9,150.0,152.2,154.8,157.4,160.4,163.1,166.0,168.9,172.1,175.1,178.8,182.5,186.4,189.9
1703230,Shaxrixon tumani,Шахриханский район,Shakhrikhan district,Шахрихон тумани,239.1,252.0,256.3,260.3,265.1,270.5,275.8,280.9,285.7,291.4,297.7,303.7,310.0,317.2,324.4,331.3
1703232,Paxtaobod tumani,Пахтаабадский район,Pakhtaabad district,Пахтаобод тумани,155.1,162.2,165.0,167.6,170.8,174.1,177.6,181.3,184.6,188.0,191.7,195.5,199.9,204.2,208.7,212.7
1703236,Xo‘jaobod tumani,Ходжаабадский район,Khojaabad district,Хўжаобод тумани,90.5,94.4,95.9,97.2,98.8,100.3,102.1,103.6,105.1,107.1,109.5,111.7,114.1,117.2,120.0,122.3
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,1612.5,1683.8,1707.4,1729.7,1756.4,1785.4,1815.2,1843.5,1870.2,1894.8,1923.9,1947.1,1976.8,2009.7,2044.0,2077.0
1706401,Buxoro shahri,Город Бухара,Bukhara city,Бухоро шаҳри,267.2,269.0,270.6,271.2,272.5,273.5,274.7,276.0,276.4,277.8,280.2,281.2,283.8,289.2,294.5,300.2
1706403,Kogon shahri,Город Каган,Kagan city,Когон шаҳри,55.3,56.3,57.1,57.8,58.6,58.9,59.5,59.8,60.2,60.7,61.1,61.5,62.3,63.7,64.7,65.5
1706204,Olot tumani,Алатский район,Alat district,Олот тумани,81.3,85.5,86.6,87.9,89.6,91.2,92.8,94.4,95.7,97.4,98.9,100.1,101.4,102.8,104.3,105.8
1706207,Buxoro tumani,Бухарский район,Bukhara district,Бухоро тумани,129.4,138.2,140.9,143.8,147.0,150.1,153.2,156.4,159.9,163.1,166.2,168.9,172.2,174.9,178.4,181.7
1706212,Vobkent tumani,Вабкентский район,Vobkent district,Бухоро тумани,114.5,119.7,121.7,123.5,125.6,127.9,130.4,132.6,134.6,137.0,139.5,141.3,143.6,145.8,148.7,151.2
1706215,G‘ijduvon tumani,Гиждуванский район,Gijduvan district,Ғиждувон тумани,256.5,267.9,271.6,275.0,279.5,284.7,289.8,295.0,299.3,299.0,303.4,307.2,311.8,317.1,322.5,327.5
1706219,Kogon tumani,Каганский район,Kagan district,Когон тумани,61.1,64.8,65.7,66.6,67.8,69.4,71.0,72.5,74.4,76.2,78.0,79.4,81.1,82.6,84.6,86.3
1706230,Qorako‘l tumani,Каракульский район,Karakul district,Қоракўл тумани,132.6,141.6,143.8,145.3,147.4,150.2,153.1,155.7,158.4,161.3,163.8,165.1,167.4,169.7,171.8,174.3
1706232,Qorovulbozor tumani,Караулбазарский район,Qorovulbozor district,Қоровулбозор тумани,14.2,15.4,15.6,15.9,16.3,16.7,17.1,17.4,17.8,18.0,18.3,18.5,19.1,19.5,19.9,20.3
1706240,Peshku tumani,Пешкунский  район,Peshkun district,Пешку тумани,98.4,104.2,105.8,107.6,109.5,111.7,113.9,115.9,117.9,120.2,122.5,124.6,126.7,128.9,131.2,133.5
1706242,Romitan tumani,Ромитанский район,Romitan district,Ромитан тумани,116.7,121.0,122.7,124.8,127.0,129.2,131.5,133.8,136.3,138.7,141.1,143.8,146.3,148.9,151.4,153.5
1706246,Jondor tumani,Жондоpский район,Jondor  district,Жондор тумани,138.1,147.4,149.7,152.2,155.1,158.5,161.7,164.8,167.8,171.2,174.0,176.5,179.4,182.3,185.5,188.8
1706258,Shofirkon tumani,Шафирканский район,Shafirkan district,Шофиркон тумани,147.2,152.8,155.6,158.1,160.5,163.4,166.5,169.2,171.5,174.2,176.9,179.0,181.7,184.3,186.5,188.4
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,1116.8,1166.7,1186.6,1205.0,1226.8,1250.1,1276.1,1301.0,1325.0,1352.4,1382.1,1410.5,1443.4,1475.5,1507.4,1537.6
1708401,Jizzax shahri,Город Джизак,Jizzakh city,Жиззах шаҳри,146.7,158.7,160.0,161.4,163.2,165.0,167.4,169.6,171.7,174.4,177.4,180.5,185.1,191.6,195.8,199.9
1708201,Arnasoy tumani,Арнасайский район,Arnasay district,Aрнасой тумани,39.1,40.1,40.8,41.3,41.9,42.4,43.1,43.9,44.5,45.2,45.9,46.5,47.3,48.1,48.7,49.5
1708204,Baxmal tumani,Бахмальский район,Bakhmal district,Бахмал тумани,125.5,128.8,131.3,133.6,136.5,139.4,143.0,146.3,149.3,152.5,155.9,159.4,163.2,166.7,170.6,174.2
1708209,G‘allaorol tumani,Галляаральский район,Gallaaral district,Ғаллаорол тумани,139.1,145.7,148.2,150.3,152.9,155.8,158.8,161.6,164.5,167.7,171.4,175.0,179.1,182.9,186.9,190.6
1708212,Sharof Rashidov tumani,Шароф-Рашидовский  район,Sharof Rashidov  district,Шароф Рашидов тумани,171.5,176.8,181.0,185.0,188.9,193.5,198.1,202.9,207.8,214.0,220.4,226.2,232.3,236.8,243.1,248.8
1708215,Do‘stlik tumani,Дустликский район,Dustlik district,Дўстлик тумани,55.0,55.9,56.9,57.9,58.9,60.0,61.1,62.1,63.1,64.3,65.4,66.5,67.7,68.8,70.0,71.0
1708218,Zomin tumani,Зааминский район,Zomin district,Зомин тумани,138.7,150.8,153.4,155.9,158.7,161.7,165.1,168.3,156.5,159.9,163.6,166.9,171.4,175.2,179.5,184.0
1708220,Zarbdor tumani,Зарбдарский район,Zarbdar district,Зарбдор тумани,53.8,57.3,58.2,59.0,60.3,61.9,63.6,65.4,81.8,83.7,85.9,88.2,90.4,92.6,94.6,96.5
1708223,Mirzacho‘l tumani,Мирзачульский район,Mirzachul district,Мирзачўл тумани,41.6,41.7,42.8,43.8,44.8,45.9,47.1,48.1,49.3,50.4,51.6,52.7,53.5,54.5,55.4,56.3
1708225,Zafarobod tumani,Зафарабадский район,Zafarabad district,Зафаробод тумани,42.2,42.9,43.5,44.2,45.0,45.6,46.4,47.3,48.0,48.9,49.8,50.5,51.6,52.7,53.7,54.5
1708228,Paxtakor tumani,Пахтакорский район,Pakhtakor district,Пахтакор тумани,62.4,63.6,64.7,65.5,66.8,68.0,69.3,70.6,71.7,72.9,74.3,75.7,77.5,79.2,80.9,82.4
1708235,Forish tumani,Фаришский район,Farish district,Фориш тумани,77.0,79.9,81.0,82.0,83.4,85.0,86.7,88.1,89.6,90.9,92.4,93.8,95.3,96.9,98.4,99.7
1708237,Yangiobod tumani,Янгиободский район,Yangiabad district,Янгиобод тумани,24.2,24.5,24.8,25.1,25.5,25.9,26.4,26.8,27.2,27.6,28.1,28.6,29.0,29.5,29.8,30.2
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,2616.1,2722.9,2777.8,2831.3,2895.3,2958.9,3025.6,3088.8,3148.4,3213.1,3280.4,3335.4,3408.3,3482.3,3560.6,3639.3
1710401,Qarshi  shahri,Город Карши,Karshi city,Қарши шаҳри,238.2,242.7,247.0,250.7,254.6,257.8,260.7,264.2,267.6,270.7,274.9,278.3,283.2,288.9,295.6,300.8
1710405,Shahrisabz shahri,Город Шахрисабз,Shakhrisabz city,Шаҳрисабз шаҳри,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.5,137.1,139.1,140.5,142.7,144.8,147.2,150.1
1710240,Ko‘kdala tumani,Кукдалинский район,Kukdala district,Кўкдала тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.3,188.7,194.4
1710207,G‘uzor tumani,Гузарский район,Gissar district,Ғузор тумани,161.8,172.4,175.0,178.1,181.6,185.3,189.1,192.6,195.8,199.2,203.4,207.7,212.4,217.3,222.2,227.0
1710212,Dehqonobod tumani,Дехканабадский район,Dehkanabad district,Деҳқонобод тумани,117.5,120.3,122.9,125.7,128.8,131.6,134.7,137.7,140.7,143.8,146.9,149.8,153.1,156.3,159.5,162.7
1710220,Qamashi tumani,Камашинский район,Kamashi district,Қамаши тумани,212.0,222.1,226.9,231.6,237.2,243.1,249.2,254.6,259.5,264.9,270.8,274.6,280.6,286.7,293.1,299.8
1710224,Qarshi tumani,Каршинский район,Karshi district,Қарши тумани,193.4,199.3,205.2,210.4,215.4,220.7,226.6,231.8,236.4,241.8,247.4,252.6,259.4,265.6,272.1,279.5
1710229,Koson tumani,Касанский район,Kasan district,Косон тумани,225.7,235.0,239.7,244.7,250.1,255.5,261.1,266.7,272.4,278.3,284.5,290.6,297.5,304.7,312.1,319.4
1710232,Kitob tumani,Китабский район,Kitab district,Китоб тумани,214.0,219.6,224.2,228.3,234.0,239.4,244.8,249.7,254.1,259.2,263.8,266.4,271.2,276.3,282.0,287.7
1710233,Mirishkor tumani,Миришкорский район,Mirishkor district,Миришкор тумани,94.0,101.2,102.9,104.7,106.6,108.6,110.7,112.7,114.7,116.8,119.2,121.5,124.1,126.8,129.6,132.3
1710234,Muborak tumani,Мубарекский район,Mubarek district,Муборак тумани,69.5,73.9,75.1,76.4,77.8,78.9,80.2,81.7,83.1,84.8,86.6,88.3,90.3,91.9,93.4,95.2
1710235,Nishon tumani,Нишанский  район,Nishon district,Нишон тумани,110.8,122.4,124.6,127.4,130.4,133.9,137.5,141.0,144.9,148.6,152.3,155.5,159.2,162.7,166.6,170.6
1710237,Kasbi tumani,Касбинский район,Kasbi district,Касби тумани,151.8,163.0,166.2,169.5,173.3,177.2,181.0,184.7,188.1,191.8,195.9,199.8,204.0,208.4,213.0,217.8
1710242,Chiroqchi tumani,Чиракчинский район,Chirakchi district,Чироқчи тумани,315.6,325.8,333.7,340.9,350.0,359.9,370.2,380.1,389.6,399.8,410.4,419.8,432.0,260.7,267.9,274.5
1710245,Shahrisabz tumani,Шахрисабзский район,Shakhrisabz district,Шаҳрисабз тумани,300.5,306.4,311.8,316.9,324.3,330.6,337.6,343.7,214.7,218.4,222.0,223.8,227.6,231.2,235.1,239.2
1710250,Yakkabog‘ tumani,Яккабагский район,Yakkabag district,Яккабоғ тумани,211.3,218.8,222.6,226.0,231.2,236.4,242.2,247.6,252.3,257.9,263.2,266.2,271.0,276.7,282.5,288.3
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,851.6,873.0,881.2,888.4,901.1,913.2,927.9,942.8,958.0,979.5,997.1,1013.6,1033.9,1055.5,1075.3,1094.7
1712401,Navoiy shahri,Город Навои,Navoi city,Навоий шаҳри,131.0,132.9,134.4,134.3,134.1,133.5,133.6,134.1,135.6,136.4,144.2,146.9,150.6,156.0,161.3,166.5
1712408,Zarafshon shahri,Город Заpафшан,Zarafshan city,Зарафшон шаҳри,72.5,74.2,73.8,73.1,74.4,75.7,77.8,79.5,81.4,82.5,83.8,85.1,85.6,86.5,88.4,90.4
1712412,G‘ozg‘on shahri,Город Газган,Gazgan city,Ғозғон шаҳри,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,8.8,9.0,9.1,9.2,9.3
1712211,Konimex tumani,Канимехский  район,Kanimekh district,Конимех тумани,37.7,31.0,30.0,29.4,29.4,29.4,29.4,29.6,29.7,35.0,35.6,36.2,36.8,37.4,37.4,37.2
1712216,Qiziltepa tumani,Кызылтепинский район,Kyzyltepa district,Қизилтепа тумани,120.0,131.5,133.3,135.3,137.7,140.1,142.5,144.9,146.8,149.2,151.7,153.9,156.6,159.2,161.8,164.6
1712230,Navbahor tumani,Навбахорский район,Navbahor district,Навбаҳор тумани,87.8,95.6,97.4,99.2,101.3,103.3,105.1,106.9,108.6,110.8,112.8,114.7,116.8,118.9,120.8,122.7
1712234,Karmana tumani,Карманинский район,Karmana district,Кармана тумани,101.1,103.3,105.6,107.3,109.9,113.2,116.7,120.1,123.4,127.7,125.6,128.2,132.2,135.7,138.8,141.8
1712238,Nurota tumani,Нуратинский район,Nurota district,Нурота тумани,80.5,81.5,82.3,83.1,84.3,85.6,86.9,88.1,89.5,91.0,85.3,85.2,86.7,88.0,89.6,90.8
1712244,Tomdi tumani,Тамдынский район,Tomdy district,Томди тумани,22.2,16.8,16.0,15.4,15.0,14.6,14.5,14.5,14.3,14.4,14.7,15.1,15.4,15.8,15.5,15.3
1712248,Uchquduq tumani,Учкудукский район,Uchkuduk district,Учқудуқ тумани,37.0,35.9,35.0,34.7,35.1,34.9,35.6,36.3,37.0,37.1,37.2,37.6,38.4,39.1,39.3,39.7
1712251,Xatirchi tumani,Хатырчинский район,Khatyrchi district,Хатирчи тумани,161.8,170.3,173.4,176.6,179.9,182.9,185.8,188.8,191.7,195.4,199.0,201.9,205.8,209.8,213.2,216.4
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,2258.5,2379.5,2420.6,2458.7,2504.1,2554.2,2603.4,2652.4,2699.6,2752.9,2810.8,2867.5,2931.1,2997.5,3066.1,3131.7
1714401,Namangan shahri,Город Наманган,Namangan city,Наманган шаҳри,441.3,453.5,461.1,468.0,475.7,484.9,493.3,590.2,600.2,612.2,626.1,644.8,661.1,678.2,696.5,713.3999999999996
1714204,Mingbuloq tumani,Мингбулакский район,Mingbulak district,Мингбулоқ тумани,98.7,106.5,108.2,109.9,111.9,114.2,116.4,118.5,120.6,123.1,125.7,128.4,131.2,134.0,136.9,139.8
1714207,Kosonsoy tumani,Касансайский район,Kasansay district,Косонсой тумани,160.9,174.4,177.9,180.9,184.7,188.4,192.2,195.9,199.7,203.9,208.4,212.9,217.7,222.7,227.9,233.1
1714212,Namangan tumani,Наманганский район,Namangan district,Наманган тумани,183.9,200.2,204.1,207.8,212.0,216.7,221.6,167.3,170.8,174.7,178.6,179.8,183.8,188.2,192.7,197.1
1714216,Norin tumani,Нарынский район,Naryn district,Норин тумани,131.1,140.4,142.5,144.6,147.2,149.9,152.4,154.9,157.5,160.3,163.3,166.1,169.3,172.5,175.8,179.1
1714219,Pop tumani,Папский район,Pop district,Поп тумани,176.2,186.8,190.1,193.1,196.8,200.5,204.2,207.9,211.3,215.0,218.9,222.7,226.9,231.3,235.7,239.8
1714224,To‘raqo‘rg‘on tumani,Туракурганский район,Turakurgan district,Тўрақўрғон тумани,180.1,187.8,191.3,194.7,198.5,203.0,207.6,212.0,216.2,220.6,225.4,228.0,233.5,239.5,245.2,250.7
1714229,Uychi tumani,Уйчинский район,Uychi district,Уйчи тумани,189.1,196.0,199.6,202.9,207.1,212.0,216.3,199.5,203.4,207.7,212.3,216.8,222.1,227.2,232.4,237.6
1714234,Uchqo‘rg‘on tumani,Учкурганский район,Uchkurgan district,Учқўрғон тумани,142.4,147.2,149.4,151.4,153.9,156.8,159.5,162.4,165.2,168.2,171.6,174.6,178.1,181.7,185.4,188.7
1714236,Chortoq tumani,Чартакский район,Chartak district,Чортоқ тумани,160.8,170.3,173.1,175.7,178.9,182.4,186.0,187.4,190.9,194.6,198.5,202.2,206.2,210.4,214.9,219.2
1714237,Chust tumani,Чустский район,Chust district,Чуст тумани,218.0,226.5,230.2,233.5,237.7,242.0,246.7,251.0,255.0,259.7,264.8,269.3,274.5,279.7,285.6,291.4
1714242,Yangiqo‘rg‘on tumani,Янгикурганский район,Yangikurgan district,Янгиқўрғон тумани,176.0,189.9,193.1,196.2,199.7,203.4,207.2,205.4,208.8,212.9,217.2,221.9,226.7,232.1,237.1,241.8
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,3119.0,3270.8,3326.2,3380.9,3445.6,3514.8,3583.9,3651.7,3720.1,3798.9,3877.4,3947.7,4031.3,4118.2,4208.5,4297.5
1718401,Samarqand shahri,Город Самарканд,Samarkand city,Самарқанд шаҳри,399.7,407.4,500.9,504.3,509.0,513.6,519.2,523.8,529.6,538.2,546.3,551.7,561.7,572.8,585.2,595.8
1718406,Kattaqo'rg'on shahar,Город  Каттакурган,Kattaqo'rg'on city,Каттақўрғон шаҳар,77.8,79.3,80.6,80.9,82.0,83.2,84.6,86.0,86.9,88.0,89.6,90.6,91.9,93.4,94.9,95.9
